context_code,response_code,context_type,context,response,sarcasm_ev1,sarcasm_ev2,sarcasm_ev3,mustard_id
1T,R3,none,,"Molly: That's good, I'm glad you've found someone.",1,0,0,288
1T,R4,none,"Molly just heard that Crofton recently went on a date with a girl with a prosthetic leg.  She bumps into Crofton and asks him how the date went. Restlessly, he says ""Great. It was great. She is, uh, she is great, great looking, great personality, she is greatness.""","Molly says, ""Ahh mate I'm pleased it went so well for you. Are you going to see her again?""",1,3,0,288
1T,R4,none,"Molly: How was your date with Ginger?  Crofton: Great. It was great. She is, uh, she is great, great looking, great personality, she is greatness. ",Molly: Ahh mate I'm pleased it went so well for you. Are you going to see her again?,0,0,0,288
1T,R4,none,,Molly: Ahh mate I'm pleased it went so well for you. Are you going to see her again?,0,0,1,288
1T,R5,none,"Molly just heard that Crofton recently went on a date with a girl with a prosthetic leg.  She bumps into Crofton and asks him how the date went. Restlessly, he says ""Great. It was great. She is, uh, she is great, great looking, great personality, she is greatness.""","Molly says, ""Someone is in love already.""",1,5,4,288
1T,R5,none,"Molly: How was your date with Ginger?  Crofton: Great. It was great. She is, uh, she is great, great looking, great personality, she is greatness. ",Molly: Someone is in love already.,1,3,4,288
1T,R5,none,,Molly: Someone is in love already.,0,0,0,288
1T,R6,none,"Molly just heard that Crofton recently went on a date with a girl with a prosthetic leg.  She bumps into Crofton and asks him how the date went. Restlessly, he says ""Great. It was great. She is, uh, she is great, great looking, great personality, she is greatness.""","Molly says, ""Happy to hear you had a fun time Crofton, sounds like a catch.""",3,0,0,288
1T,R6,none,"Molly: How was your date with Ginger?  Crofton: Great. It was great. She is, uh, she is great, great looking, great personality, she is greatness. ","Molly: Happy to hear you had a fun time Crofton, sounds like a catch.",3,0,4,288
1T,R6,none,,"Molly: Happy to hear you had a fun time Crofton, sounds like a catch.",1,2,1,288
1T,R7,none,"Molly just heard that Crofton recently went on a date with a girl with a prosthetic leg.  She bumps into Crofton and asks him how the date went. Restlessly, he says ""Great. It was great. She is, uh, she is great, great looking, great personality, she is greatness.""","Molly says, ""That's cool, will you see her again.""",2,0,3,288
1T,R7,none,"Molly: How was your date with Ginger?  Crofton: Great. It was great. She is, uh, she is great, great looking, great personality, she is greatness. ","Molly: That's cool, will you see her again?",3,0,0,288
1T,R7,none,,"Molly: That's cool, will you see her again?",3,0,1,288
1T,R8,none,"Molly just heard that Crofton recently went on a date with a girl with a prosthetic leg.  She bumps into Crofton and asks him how the date went. Restlessly, he says ""Great. It was great. She is, uh, she is great, great looking, great personality, she is greatness.""","Molly says, ""I hope you didn't use the word 'great' on your date as much as you did in that one sentence, haha.""",0,3,3,288
1T,R8,none,"Molly: How was your date with Ginger?  Crofton: Great. It was great. She is, uh, she is great, great looking, great personality, she is greatness. ","Molly: I hope you didn't use the word 'great' on your date as much as you did in that one sentence, haha.",3,3,3,288
1T,R8,none,,"Molly: I hope you didn't use the word 'great' on your date as much as you did in that one sentence, haha.",3,2,5,288
1T,R9,none,"Molly just heard that Crofton recently went on a date with a girl with a prosthetic leg.  She bumps into Crofton and asks him how the date went. Restlessly, he says ""Great. It was great. She is, uh, she is great, great looking, great personality, she is greatness.""","Molly says, ""Are you alright Crofton?""",1,2,5,288
1T,R9,none,"Molly: How was your date with Ginger?  Crofton: Great. It was great. She is, uh, she is great, great looking, great personality, she is greatness. ",Molly: Are you alright Crofton?,3,3,4,288
1T,R9,none,,Molly: Are you alright Crofton?,0,1,1,288
2F,R1,none,"Last night was Ryan’s bachelor party. Ryan’s best man John was keeping the wedding ring in his room. At the party, John hooked up with a stripper and she stayed over. When he wakes up in the morning, John realizes the stripper is gone, and so is the ring! He runs to his roommate Crofton’s room, yelling, ""The stripper stole the ring! The stripper stole the ring! Get up get up, the stripper stole the ring.""","Crofton asks, ""What do you think I can even do about that?""",1,1,3,319
2F,R1,none,"John: The stripper stole the ring! The stripper stole the ring! Hey, get up get up, the stripper stole the ring! ",Crofton: What do you think I can even do about that?,0,2,2,319
2F,R1,none,,Crofton: What do you think I can even do about that?,5,2,0,319
2F,R10,none,"Last night was Ryan’s bachelor party. Ryan’s best man John was keeping the wedding ring in his room. At the party, John hooked up with a stripper and she stayed over. When he wakes up in the morning, John realizes the stripper is gone, and so is the ring! He runs to his roommate Crofton’s room, yelling, ""The stripper stole the ring! The stripper stole the ring! Get up get up, the stripper stole the ring.""","Crofton says, ""What the hell, which stripper? Get it back.""",0,0,0,319
2F,R10,none,"John: The stripper stole the ring! The stripper stole the ring! Hey, get up get up, the stripper stole the ring! ","Crofton: What the hell, which stripper? Get it back.",1,4,0,319
2F,R10,none,,"Crofton: What the hell, which stripper? Get it back.",1,0,2,319
2F,R11,none,"Last night was Ryan’s bachelor party. Ryan’s best man John was keeping the wedding ring in his room. At the party, John hooked up with a stripper and she stayed over. When he wakes up in the morning, John realizes the stripper is gone, and so is the ring! He runs to his roommate Crofton’s room, yelling, ""The stripper stole the ring! The stripper stole the ring! Get up get up, the stripper stole the ring.""","Crofton says, ""Well you shouldn't have hooked up with her then.""",3,0,4,319
2F,R11,none,"John: The stripper stole the ring! The stripper stole the ring! Hey, get up get up, the stripper stole the ring! ",Crofton: Well you shouldn't have hooked up with her then.,2,2,1,319
2F,R11,none,,Crofton: Well you shouldn't have hooked up with her then.,1,1,4,319
2F,R12,none,"Last night was Ryan’s bachelor party. Ryan’s best man John was keeping the wedding ring in his room. At the party, John hooked up with a stripper and she stayed over. When he wakes up in the morning, John realizes the stripper is gone, and so is the ring! He runs to his roommate Crofton’s room, yelling, ""The stripper stole the ring! The stripper stole the ring! Get up get up, the stripper stole the ring.""","Crofton says, ""What do you want us to do?""",1,3,1,319
2F,R12,none,"John: The stripper stole the ring! The stripper stole the ring! Hey, get up get up, the stripper stole the ring! ",Crofton: What do you want us to do?,1,3,5,319
2F,R12,none,,Crofton: What do you want us to do?,3,2,0,319
2F,R13,none,"Last night was Ryan’s bachelor party. Ryan’s best man John was keeping the wedding ring in his room. At the party, John hooked up with a stripper and she stayed over. When he wakes up in the morning, John realizes the stripper is gone, and so is the ring! He runs to his roommate Crofton’s room, yelling, ""The stripper stole the ring! The stripper stole the ring! Get up get up, the stripper stole the ring.""","Crofton says, ""Call the police ! Do you have any contact with this girl? We might be able to get it back.""",2,0,0,319
2F,R13,none,"John: The stripper stole the ring! The stripper stole the ring! Hey, get up get up, the stripper stole the ring! ",Crofton: Call the police ! Do you have any contact with this girl? We might be able to get it back.,3,5,3,319
2F,R13,none,,Crofton: Call the police ! Do you have any contact with this girl? We might be able to get it back.,1,0,1,319
2F,R14,none,"Last night was Ryan’s bachelor party. Ryan’s best man John was keeping the wedding ring in his room. At the party, John hooked up with a stripper and she stayed over. When he wakes up in the morning, John realizes the stripper is gone, and so is the ring! He runs to his roommate Crofton’s room, yelling, ""The stripper stole the ring! The stripper stole the ring! Get up get up, the stripper stole the ring.""","Crofton asks, ""Where did she go?""",1,0,0,319
2F,R14,none,"John: The stripper stole the ring! The stripper stole the ring! Hey, get up get up, the stripper stole the ring! ",Crofton: Where did she go?,0,2,5,319
2F,R14,none,,Crofton: Where did she go?,0,0,3,319
2F,R15,none,"Last night was Ryan’s bachelor party. Ryan’s best man John was keeping the wedding ring in his room. At the party, John hooked up with a stripper and she stayed over. When he wakes up in the morning, John realizes the stripper is gone, and so is the ring! He runs to his roommate Crofton’s room, yelling, ""The stripper stole the ring! The stripper stole the ring! Get up get up, the stripper stole the ring.""","Crofton asks, ""What ring, what do you mean?""",0,0,1,319
2F,R15,none,"John: The stripper stole the ring! The stripper stole the ring! Hey, get up get up, the stripper stole the ring! ","Crofton: What ring, what do you mean?",1,4,4,319
2F,R15,none,,"Crofton: What ring, what do you mean?",0,3,2,319
2F,R16,none,"Last night was Ryan’s bachelor party. Ryan’s best man John was keeping the wedding ring in his room. At the party, John hooked up with a stripper and she stayed over. When he wakes up in the morning, John realizes the stripper is gone, and so is the ring! He runs to his roommate Crofton’s room, yelling, ""The stripper stole the ring! The stripper stole the ring! Get up get up, the stripper stole the ring.""","Crofton says, ""Not my circus not my monkeys.""",3,0,3,319
2F,R16,none,"John: The stripper stole the ring! The stripper stole the ring! Hey, get up get up, the stripper stole the ring! ",Crofton: Not my circus not my monkeys.,1,4,3,319
2F,R16,none,,Crofton: Not my circus not my monkeys.,2,4,3,319
2F,R17,none,"Last night was Ryan’s bachelor party. Ryan’s best man John was keeping the wedding ring in his room. At the party, John hooked up with a stripper and she stayed over. When he wakes up in the morning, John realizes the stripper is gone, and so is the ring! He runs to his roommate Crofton’s room, yelling, ""The stripper stole the ring! The stripper stole the ring! Get up get up, the stripper stole the ring.""","Crofton says, ""Oh my god, you're kidding. Are you sure?""",0,0,3,319
2F,R17,none,"John: The stripper stole the ring! The stripper stole the ring! Hey, get up get up, the stripper stole the ring! ","Crofton: Oh my god, you're kidding. Are you sure?",0,1,1,319
2F,R17,none,,"Crofton: Oh my god, you're kidding. Are you sure?",1,0,0,319
2F,R18,none,"Last night was Ryan’s bachelor party. Ryan’s best man John was keeping the wedding ring in his room. At the party, John hooked up with a stripper and she stayed over. When he wakes up in the morning, John realizes the stripper is gone, and so is the ring! He runs to his roommate Crofton’s room, yelling, ""The stripper stole the ring! The stripper stole the ring! Get up get up, the stripper stole the ring.""","Crofton says, ""What the fuck, John. What do you mean the stripper stole the ring?""",0,0,1,319
2F,R18,none,"John: The stripper stole the ring! The stripper stole the ring! Hey, get up get up, the stripper stole the ring! ","Crofton: What the fuck, John. What do you mean the stripper stole the ring?",1,2,1,319
2F,R18,none,,"Crofton: What the fuck, John. What do you mean the stripper stole the ring?",0,1,0,319
2F,R2,none,"Last night was Ryan’s bachelor party. Ryan’s best man John was keeping the wedding ring in his room. At the party, John hooked up with a stripper and she stayed over. When he wakes up in the morning, John realizes the stripper is gone, and so is the ring! He runs to his roommate Crofton’s room, yelling, ""The stripper stole the ring! The stripper stole the ring! Get up get up, the stripper stole the ring.""","Crofton asks, ""Is that a song?""",4,3,4,319
2F,R2,none,"John: The stripper stole the ring! The stripper stole the ring! Hey, get up get up, the stripper stole the ring! ",Crofton: Is that a song?,2,4,0,319
2F,R2,none,,Crofton: Is that a song?,3,0,1,319
2F,R3,none,"Last night was Ryan’s bachelor party. Ryan’s best man John was keeping the wedding ring in his room. At the party, John hooked up with a stripper and she stayed over. When he wakes up in the morning, John realizes the stripper is gone, and so is the ring! He runs to his roommate Crofton’s room, yelling, ""The stripper stole the ring! The stripper stole the ring! Get up get up, the stripper stole the ring.""","Crofton asks, ""Alright, where is she?""",1,4,4,319
2F,R3,none,"John: The stripper stole the ring! The stripper stole the ring! Hey, get up get up, the stripper stole the ring! ","Crofton: Alright, where is she?",1,1,2,319
2F,R3,none,,"Crofton: Alright, where is she?",2,1,3,319
2F,R4,none,"Last night was Ryan’s bachelor party. Ryan’s best man John was keeping the wedding ring in his room. At the party, John hooked up with a stripper and she stayed over. When he wakes up in the morning, John realizes the stripper is gone, and so is the ring! He runs to his roommate Crofton’s room, yelling, ""The stripper stole the ring! The stripper stole the ring! Get up get up, the stripper stole the ring.""","Crofton says, ""The stripper wants a man, the stripper wants a man! Watch out, watch out, the stripper wants a man.""",0,4,4,319
2F,R4,none,"John: The stripper stole the ring! The stripper stole the ring! Hey, get up get up, the stripper stole the ring! ","Crofton: The stripper wants a man, the stripper wants a man! Watch out, watch out, the stripper wants a man.",3,3,3,319
2F,R4,none,,"Crofton: The stripper wants a man, the stripper wants a man! Watch out, watch out, the stripper wants a man.",2,3,2,319
2F,R5,none,"Last night was Ryan’s bachelor party. Ryan’s best man John was keeping the wedding ring in his room. At the party, John hooked up with a stripper and she stayed over. When he wakes up in the morning, John realizes the stripper is gone, and so is the ring! He runs to his roommate Crofton’s room, yelling, ""The stripper stole the ring! The stripper stole the ring! Get up get up, the stripper stole the ring.""","Crofton says, ""We either need to find her or get a replacement ASAP.""",0,0,0,319
2F,R5,none,"John: The stripper stole the ring! The stripper stole the ring! Hey, get up get up, the stripper stole the ring! ",Crofton: We either need to find her or get a replacement ASAP.,1,0,0,319
2F,R5,none,,Crofton: We either need to find her or get a replacement ASAP.,0,0,5,319
2F,R6,none,"Last night was Ryan’s bachelor party. Ryan’s best man John was keeping the wedding ring in his room. At the party, John hooked up with a stripper and she stayed over. When he wakes up in the morning, John realizes the stripper is gone, and so is the ring! He runs to his roommate Crofton’s room, yelling, ""The stripper stole the ring! The stripper stole the ring! Get up get up, the stripper stole the ring.""","Crofton says, ""Mom it's too early to go to school.""",2,5,5,319
2F,R6,none,"John: The stripper stole the ring! The stripper stole the ring! Hey, get up get up, the stripper stole the ring! ",Crofton: Mom it's too early to go to school.,1,0,0,319
2F,R6,none,,Crofton: Mom it's too early to go to school.,0,1,1,319
2F,R7,none,"Last night was Ryan’s bachelor party. Ryan’s best man John was keeping the wedding ring in his room. At the party, John hooked up with a stripper and she stayed over. When he wakes up in the morning, John realizes the stripper is gone, and so is the ring! He runs to his roommate Crofton’s room, yelling, ""The stripper stole the ring! The stripper stole the ring! Get up get up, the stripper stole the ring.""","Crofton asks, ""What did you expect?""",0,1,3,319
2F,R7,none,"John: The stripper stole the ring! The stripper stole the ring! Hey, get up get up, the stripper stole the ring! ",Crofton: What did you expect?,3,4,4,319
2F,R7,none,,Crofton: What did you expect?,3,0,2,319
2F,R8,none,"Last night was Ryan’s bachelor party. Ryan’s best man John was keeping the wedding ring in his room. At the party, John hooked up with a stripper and she stayed over. When he wakes up in the morning, John realizes the stripper is gone, and so is the ring! He runs to his roommate Crofton’s room, yelling, ""The stripper stole the ring! The stripper stole the ring! Get up get up, the stripper stole the ring.""","Crofton says, ""Ah my friend, that sounds like a you problem.""",1,4,3,319
2F,R8,none,"John: The stripper stole the ring! The stripper stole the ring! Hey, get up get up, the stripper stole the ring! ","Crofton: Ah my friend, that sounds like a you problem.",3,3,4,319
2F,R8,none,,"Crofton: Ah my friend, that sounds like a you problem.",3,4,4,319
2F,R9,none,"Last night was Ryan’s bachelor party. Ryan’s best man John was keeping the wedding ring in his room. At the party, John hooked up with a stripper and she stayed over. When he wakes up in the morning, John realizes the stripper is gone, and so is the ring! He runs to his roommate Crofton’s room, yelling, ""The stripper stole the ring! The stripper stole the ring! Get up get up, the stripper stole the ring.""","Crofton asks, ""What are we supposed to do about it?""",0,0,4,319
2F,R9,none,"John: The stripper stole the ring! The stripper stole the ring! Hey, get up get up, the stripper stole the ring! ",Crofton: What are we supposed to do about it?,5,3,2,319
2F,R9,none,,Crofton: What are we supposed to do about it?,0,4,3,319
2T,R1,none,"Crofton and his friends are on a road trip. They stop the car to pee. Everybody gets out of the car and the last person forgot to take out the keys, locking all of them out of the car in the middle of the night. Crofton tries to light a cigarette with the heat from the tailpipe. It doesn't work. Feeling anxious, he shouts, ""Damn, tail pipe's not hot enough to light this."" And John says, ""Relax, ok? I can get this open, anybody got a coat hanger?""","Crofton says, ""In the closet I'll go grab it.""",4,2,5,308
2T,R1,none,"Crofton: Damn, tail pipe's not hot enough to light this.  John: Relax ok? I can get this open, anybody got a coat hanger?",Crofton: In the closet I'll go grab it.,4,0,0,308
2T,R1,none,,Crofton: In the closet I'll go grab it.,0,0,0,308
2T,R10,none,"Crofton and his friends are on a road trip. They stop the car to pee. Everybody gets out of the car and the last person forgot to take out the keys, locking all of them out of the car in the middle of the night. Crofton tries to light a cigarette with the heat from the tailpipe. It doesn't work. Feeling anxious, he shouts, ""Damn, tail pipe's not hot enough to light this."" And John says, ""Relax, ok? I can get this open, anybody got a coat hanger?""","Crofton says, ""Yeah I've got one upstairs.""",5,5,5,308
2T,R10,none,"Crofton: Damn, tail pipe's not hot enough to light this.  John: Relax ok? I can get this open, anybody got a coat hanger?",Crofton: Yeah I've got one upstairs.,0,0,0,308
2T,R10,none,,Crofton: Yeah I've got one upstairs.,1,0,0,308
2T,R11,none,"Crofton and his friends are on a road trip. They stop the car to pee. Everybody gets out of the car and the last person forgot to take out the keys, locking all of them out of the car in the middle of the night. Crofton tries to light a cigarette with the heat from the tailpipe. It doesn't work. Feeling anxious, he shouts, ""Damn, tail pipe's not hot enough to light this."" And John says, ""Relax, ok? I can get this open, anybody got a coat hanger?""","Crofton says, ""Let's hope we can get back into the car soon.""",2,0,0,308
2T,R11,none,"Crofton: Damn, tail pipe's not hot enough to light this.  John: Relax ok? I can get this open, anybody got a coat hanger?",Crofton: Let's hope we can get back into the car soon.,0,1,1,308
2T,R11,none,,Crofton: Let's hope we can get back into the car soon.,0,2,0,308
2T,R12,none,"Crofton and his friends are on a road trip. They stop the car to pee. Everybody gets out of the car and the last person forgot to take out the keys, locking all of them out of the car in the middle of the night. Crofton tries to light a cigarette with the heat from the tailpipe. It doesn't work. Feeling anxious, he shouts, ""Damn, tail pipe's not hot enough to light this."" And John says, ""Relax, ok? I can get this open, anybody got a coat hanger?""","Crofton says, ""What do you think? Do you think I carry a coat hanger wherever I go.""",3,4,5,308
2T,R12,none,"Crofton: Damn, tail pipe's not hot enough to light this.  John: Relax ok? I can get this open, anybody got a coat hanger?",Crofton: What do you think? Do you think I carry a coat hanger wherever I go.,5,4,4,308
2T,R12,none,,Crofton: What do you think? Do you think I carry a coat hanger wherever I go.,4,3,5,308
2T,R13,none,"Crofton and his friends are on a road trip. They stop the car to pee. Everybody gets out of the car and the last person forgot to take out the keys, locking all of them out of the car in the middle of the night. Crofton tries to light a cigarette with the heat from the tailpipe. It doesn't work. Feeling anxious, he shouts, ""Damn, tail pipe's not hot enough to light this."" And John says, ""Relax, ok? I can get this open, anybody got a coat hanger?""","Crofton says, ""Who would bring a coat hanger on a car trip in the middle of the night??""",3,4,5,308
2T,R13,none,"Crofton: Damn, tail pipe's not hot enough to light this.  John: Relax ok? I can get this open, anybody got a coat hanger?",Crofton: Who would bring a coat hanger on a car trip in the middle of the night??,2,3,4,308
2T,R13,none,,Crofton: Who would bring a coat hanger on a car trip in the middle of the night??,1,5,3,308
2T,R14,none,"Crofton and his friends are on a road trip. They stop the car to pee. Everybody gets out of the car and the last person forgot to take out the keys, locking all of them out of the car in the middle of the night. Crofton tries to light a cigarette with the heat from the tailpipe. It doesn't work. Feeling anxious, he shouts, ""Damn, tail pipe's not hot enough to light this."" And John says, ""Relax, ok? I can get this open, anybody got a coat hanger?""","Crofton says, ""I should have one.""",2,5,1,308
2T,R14,none,"Crofton: Damn, tail pipe's not hot enough to light this.  John: Relax ok? I can get this open, anybody got a coat hanger?",Crofton: I should have one.,0,3,0,308
2T,R14,none,,Crofton: I should have one.,0,1,1,308
2T,R15,none,"Crofton and his friends are on a road trip. They stop the car to pee. Everybody gets out of the car and the last person forgot to take out the keys, locking all of them out of the car in the middle of the night. Crofton tries to light a cigarette with the heat from the tailpipe. It doesn't work. Feeling anxious, he shouts, ""Damn, tail pipe's not hot enough to light this."" And John says, ""Relax, ok? I can get this open, anybody got a coat hanger?""","Crofton says, ""Sure here you go.""",4,1,5,308
2T,R15,none,"Crofton: Damn, tail pipe's not hot enough to light this.  John: Relax ok? I can get this open, anybody got a coat hanger?",Crofton: Sure here you go.,2,3,3,308
2T,R15,none,,Crofton: Sure here you go.,0,0,2,308
2T,R16,none,"Crofton and his friends are on a road trip. They stop the car to pee. Everybody gets out of the car and the last person forgot to take out the keys, locking all of them out of the car in the middle of the night. Crofton tries to light a cigarette with the heat from the tailpipe. It doesn't work. Feeling anxious, he shouts, ""Damn, tail pipe's not hot enough to light this."" And John says, ""Relax, ok? I can get this open, anybody got a coat hanger?""","Crofton says, ""If I don't have a lighter, what in god's name gives you the idea that I happen to have a spare coat hanger on me.""",4,5,3,308
2T,R16,none,"Crofton: Damn, tail pipe's not hot enough to light this.  John: Relax ok? I can get this open, anybody got a coat hanger?","Crofton: If I don't have a lighter, what in god's name gives you the idea that I happen to have a spare coat hanger on me.",3,5,2,308
2T,R16,none,,"Crofton: If I don't have a lighter, what in god's name gives you the idea that I happen to have a spare coat hanger on me.",4,5,2,308
2T,R17,none,"Crofton and his friends are on a road trip. They stop the car to pee. Everybody gets out of the car and the last person forgot to take out the keys, locking all of them out of the car in the middle of the night. Crofton tries to light a cigarette with the heat from the tailpipe. It doesn't work. Feeling anxious, he shouts, ""Damn, tail pipe's not hot enough to light this."" And John says, ""Relax, ok? I can get this open, anybody got a coat hanger?""","Crofton says, ""Great idea but the coat hangers are inside the locked car!""",4,4,4,308
2T,R17,none,"Crofton: Damn, tail pipe's not hot enough to light this.  John: Relax ok? I can get this open, anybody got a coat hanger?",Crofton: Great idea but the coat hangers are inside the locked car!,2,4,1,308
2T,R17,none,,Crofton: Great idea but the coat hangers are inside the locked car!,5,0,3,308
2T,R18,none,"Crofton and his friends are on a road trip. They stop the car to pee. Everybody gets out of the car and the last person forgot to take out the keys, locking all of them out of the car in the middle of the night. Crofton tries to light a cigarette with the heat from the tailpipe. It doesn't work. Feeling anxious, he shouts, ""Damn, tail pipe's not hot enough to light this."" And John says, ""Relax, ok? I can get this open, anybody got a coat hanger?""","Crofton says, ""No.""",0,3,1,308
2T,R18,none,"Crofton: Damn, tail pipe's not hot enough to light this.  John: Relax ok? I can get this open, anybody got a coat hanger?",Crofton: No.,1,3,0,308
2T,R18,none,,Crofton: No.,0,0,2,308
2T,R2,none,"Crofton and his friends are on a road trip. They stop the car to pee. Everybody gets out of the car and the last person forgot to take out the keys, locking all of them out of the car in the middle of the night. Crofton tries to light a cigarette with the heat from the tailpipe. It doesn't work. Feeling anxious, he shouts, ""Damn, tail pipe's not hot enough to light this."" And John says, ""Relax, ok? I can get this open, anybody got a coat hanger?""","Crofton says, ""Yeah I just carry coat hangers round all day.""",1,5,5,308
2T,R2,none,"Crofton: Damn, tail pipe's not hot enough to light this.  John: Relax ok? I can get this open, anybody got a coat hanger?",Crofton: Yeah I just carry coat hangers round all day.,5,5,5,308
2T,R2,none,,Crofton: Yeah I just carry coat hangers round all day.,5,3,5,308
2T,R3,none,"Crofton and his friends are on a road trip. They stop the car to pee. Everybody gets out of the car and the last person forgot to take out the keys, locking all of them out of the car in the middle of the night. Crofton tries to light a cigarette with the heat from the tailpipe. It doesn't work. Feeling anxious, he shouts, ""Damn, tail pipe's not hot enough to light this."" And John says, ""Relax, ok? I can get this open, anybody got a coat hanger?""","Crofton says, ""Yeah, let me go grab it.""",1,5,5,308
2T,R3,none,"Crofton: Damn, tail pipe's not hot enough to light this.  John: Relax ok? I can get this open, anybody got a coat hanger?","Crofton: Yeah, let me go grab it.",2,1,0,308
2T,R3,none,,"Crofton: Yeah, let me go grab it.",0,0,0,308
2T,R4,none,"Crofton and his friends are on a road trip. They stop the car to pee. Everybody gets out of the car and the last person forgot to take out the keys, locking all of them out of the car in the middle of the night. Crofton tries to light a cigarette with the heat from the tailpipe. It doesn't work. Feeling anxious, he shouts, ""Damn, tail pipe's not hot enough to light this."" And John says, ""Relax, ok? I can get this open, anybody got a coat hanger?""","Crofton says, ""Yes that would be really helpful thanks.""",2,2,4,308
2T,R4,none,"Crofton: Damn, tail pipe's not hot enough to light this.  John: Relax ok? I can get this open, anybody got a coat hanger?",Crofton: Yes that would be really helpful thanks.,3,2,3,308
2T,R4,none,,Crofton: Yes that would be really helpful thanks.,0,3,0,308
2T,R5,none,"Crofton and his friends are on a road trip. They stop the car to pee. Everybody gets out of the car and the last person forgot to take out the keys, locking all of them out of the car in the middle of the night. Crofton tries to light a cigarette with the heat from the tailpipe. It doesn't work. Feeling anxious, he shouts, ""Damn, tail pipe's not hot enough to light this."" And John says, ""Relax, ok? I can get this open, anybody got a coat hanger?""","Crofton says, ""Yes, right in my pocket.""",5,5,5,308
2T,R5,none,"Crofton: Damn, tail pipe's not hot enough to light this.  John: Relax ok? I can get this open, anybody got a coat hanger?","Crofton: Yes, right in my pocket.",0,5,5,308
2T,R5,none,,"Crofton: Yes, right in my pocket.",1,5,4,308
2T,R6,none,"Crofton and his friends are on a road trip. They stop the car to pee. Everybody gets out of the car and the last person forgot to take out the keys, locking all of them out of the car in the middle of the night. Crofton tries to light a cigarette with the heat from the tailpipe. It doesn't work. Feeling anxious, he shouts, ""Damn, tail pipe's not hot enough to light this."" And John says, ""Relax, ok? I can get this open, anybody got a coat hanger?""","Crofton says, ""Yeah sure, let me just check my pockets to see if I have a spare coat hanger hanging around.""",1,5,4,308
2T,R6,none,"Crofton: Damn, tail pipe's not hot enough to light this.  John: Relax ok? I can get this open, anybody got a coat hanger?","Crofton: Yeah sure, let me just check my pockets to see if I have a spare coat hanger hanging around.",5,4,5,308
2T,R6,none,,"Crofton: Yeah sure, let me just check my pockets to see if I have a spare coat hanger hanging around.",5,4,5,308
2T,R7,none,"Crofton and his friends are on a road trip. They stop the car to pee. Everybody gets out of the car and the last person forgot to take out the keys, locking all of them out of the car in the middle of the night. Crofton tries to light a cigarette with the heat from the tailpipe. It doesn't work. Feeling anxious, he shouts, ""Damn, tail pipe's not hot enough to light this."" And John says, ""Relax, ok? I can get this open, anybody got a coat hanger?""","Crofton says, ""Why would I have a coat hanger on me?""",3,5,4,308
2T,R7,none,"Crofton: Damn, tail pipe's not hot enough to light this.  John: Relax ok? I can get this open, anybody got a coat hanger?",Crofton: Why would I have a coat hanger on me?,3,1,1,308
2T,R7,none,,Crofton: Why would I have a coat hanger on me?,4,4,5,308
2T,R8,none,"Crofton and his friends are on a road trip. They stop the car to pee. Everybody gets out of the car and the last person forgot to take out the keys, locking all of them out of the car in the middle of the night. Crofton tries to light a cigarette with the heat from the tailpipe. It doesn't work. Feeling anxious, he shouts, ""Damn, tail pipe's not hot enough to light this."" And John says, ""Relax, ok? I can get this open, anybody got a coat hanger?""","Crofton says, ""Yeah pal I never leave the house without a coat hanger.""",2,5,5,308
2T,R8,none,"Crofton: Damn, tail pipe's not hot enough to light this.  John: Relax ok? I can get this open, anybody got a coat hanger?",Crofton: Yeah pal I never leave the house without a coat hanger.,5,5,5,308
2T,R8,none,,Crofton: Yeah pal I never leave the house without a coat hanger.,4,4,5,308
2T,R9,none,"Crofton and his friends are on a road trip. They stop the car to pee. Everybody gets out of the car and the last person forgot to take out the keys, locking all of them out of the car in the middle of the night. Crofton tries to light a cigarette with the heat from the tailpipe. It doesn't work. Feeling anxious, he shouts, ""Damn, tail pipe's not hot enough to light this."" And John says, ""Relax, ok? I can get this open, anybody got a coat hanger?""","Crofton says, ""I got one in the car.""",3,4,1,308
2T,R9,none,"Crofton: Damn, tail pipe's not hot enough to light this.  John: Relax ok? I can get this open, anybody got a coat hanger?",Crofton: I got one in the car.,0,0,1,308
2T,R9,none,,Crofton: I got one in the car.,0,0,3,308
3F,R1,none,"John made fun of his friend Crofton Bang's first name, and Crofton took it really personally. Now John feels bad and keeps apologizing to him. Crofton, apparently still upset, says, ""No, no, you're right, it is a ridiculous name.""  ""It's not that bad."" John tries to comfort him. Crofton continues to say, ""Yes it is! From now on, I have no first name.""","John says, ""Why not have your first name legally changed then?""",4,4,4,409
3F,R1,none,"Crofton: No, no, you're right, it is a ridiculous name!  John: It's not that bad.  Crofton: Yes it is! From now on, I have no first name. ",John: Why not have your first name legally changed then?,2,3,1,409
3F,R1,none,,John: Why not have your first name legally changed then?,2,2,0,409
3F,R10,none,"John made fun of his friend Crofton Bang's first name, and Crofton took it really personally. Now John feels bad and keeps apologizing to him. Crofton, apparently still upset, says, ""No, no, you're right, it is a ridiculous name.""  ""It's not that bad."" John tries to comfort him. Crofton continues to say, ""Yes it is! From now on, I have no first name.""","John says, ""Don't be stupid, no one really cares what your name is.""",0,1,4,409
3F,R10,none,"Crofton: No, no, you're right, it is a ridiculous name!  John: It's not that bad.  Crofton: Yes it is! From now on, I have no first name. ","John: Don't be stupid, no one really cares what your name is.",3,2,0,409
3F,R10,none,,"John: Don't be stupid, no one really cares what your name is.",1,2,0,409
